"Município";"Renda média domic. per capita"
"171245 LUZINOPOLIS";152,00
"171250 MARIANOPOLIS DO TOCANTINS";332,94
"171270 MATEIROS";98,92
"171280 MAURILANDIA DO TOCANTINS";115,54
"171320 MIRACEMA DO TOCANTINS";356,00
"171330 MIRANORTE";363,15
"171360 MONTE DO CARMO";192,08
"171370 MONTE SANTO DO TOCANTINS";218,03
"171380 PALMEIRAS DO TOCANTINS";139,33
"171395 MURICILANDIA";191,77
"171420 NATIVIDADE";280,15
"171430 NAZARE";155,78
"171488 NOVA OLINDA";281,43
"171500 NOVA ROSALANDIA";245,29
"171510 NOVO ACORDO";287,44
"171515 NOVO ALEGRE";227,46
"171525 NOVO JARDIM";205,26
"171550 OLIVEIRA DE FATIMA";226,10
"171570 PALMEIRANTE";114,10
"171575 PALMEIROPOLIS";339,79
"171610 PARAISO DO TOCANTINS";618,47
"171620 PARANA";175,64
"171630 PAU D'ARCO";191,25
"171650 PEDRO AFONSO";320,42
"171660 PEIXE";244,35
"171665 PEQUIZEIRO";207,17
"171670 COLMEIA";294,48
"171700 PINDORAMA DO TOCANTINS";136,60
"171720 PIRAQUE";210,96
"171750 PIUM";305,38
"171780 PONTE ALTA DO BOM JESUS";224,11
"171790 PONTE ALTA DO TOCANTINS";250,71
"171800 PORTO ALEGRE DO TOCANTINS";151,03
"171820 PORTO NACIONAL";369,97
"171830 PRAIA NORTE";86,22
"171840 PRESIDENTE KENNEDY";237,03
"171845 PUGMIL";231,24
"171850 RECURSOLANDIA";102,54
"171855 RIACHINHO";97,24
"171865 RIO DA CONCEICAO";150,57
"171870 RIO DOS BOIS";254,37
"171875 RIO SONO";120,43
"171880 SAMPAIO";104,50
"171884 SANDOLANDIA";346,10
"171886 SANTA FE DO ARAGUAIA";199,73
"171888 SANTA MARIA DO TOCANTINS";137,84
"171889 SANTA RITA DO TOCANTINS";213,04
"171890 SANTA ROSA DO TOCANTINS";173,70
"171900 SANTA TEREZA DO TOCANTINS";146,48
"172000 SANTA TEREZINHA DO TOCANTINS";108,63
"172010 SAO BENTO DO TOCANTINS";137,59
"172015 SAO FELIX DO TOCANTINS";127,91
"172020 SAO MIGUEL DO TOCANTINS";109,20
"172025 SAO SALVADOR DO TOCANTINS";158,06
"172030 SAO SEBASTIAO DO TOCANTINS";117,43
"172049 SAO VALERIO";244,18
"172065 SILVANOPOLIS";213,80
"172080 SITIO NOVO DO TOCANTINS";133,77
"172085 SUCUPIRA";320,90
"172090 TAGUATINGA";256,38
"172093 TAIPAS DO TOCANTINS";213,94
"172097 TALISMA";336,74
"172100 PALMAS";703,90
"172110 TOCANTINIA";137,33
"172120 TOCANTINOPOLIS";244,95
"172125 TUPIRAMA";203,21
"172130 TUPIRATINS";161,95
"172208 WANDERLANDIA";202,30
"172210 XAMBIOA";287,11
"210005 ACAILANDIA";292,73
"210010 AFONSO CUNHA";87,80
"210015 AGUA DOCE DO MARANHAO";96,19
"210020 ALCANTARA";118,35
"210030 ALDEIAS ALTAS";112,70
"210040 ALTAMIRA DO MARANHAO";98,22
"210043 ALTO ALEGRE DO MARANHAO";126,50
"210047 ALTO ALEGRE DO PINDARE";120,34
"210050 ALTO PARNAIBA";181,66
"210055 AMAPA DO MARANHAO";130,03
"210060 AMARANTE DO MARANHAO";113,33
"210070 ANAJATUBA";98,66
"210080 ANAPURUS";215,79
"210083 APICUM-ACU";87,52
"210087 ARAGUANA";92,00
"210090 ARAIOSES";88,97
"210095 ARAME";128,40
"210100 ARARI";188,28
"210110 AXIXA";119,07
"210120 BACABAL";199,79
"210125 BACABEIRA";118,66
"210130 BACURI";143,64
"210135 BACURITUBA";108,01
"210140 BALSAS";353,17
"210150 BARAO DE GRAJAU";152,09
"210160 BARRA DO CORDA";191,19
"210170 BARREIRINHAS";119,71
"210173 BELAGUA";54,04
"210177 BELA VISTA DO MARANHAO";110,98
"210180 BENEDITO LEITE";141,95
"210190 BEQUIMAO";99,89
"210193 BERNARDO DO MEARIM";143,96
"210197 BOA VISTA DO GURUPI";124,38
"210200 BOM JARDIM";106,01
"210203 BOM JESUS DAS SELVAS";151,71
"210207 BOM LUGAR";97,31
"210210 BREJO";99,51
"210215 BREJO DE AREIA";84,56
"210220 BURITI";107,83
"210230 BURITI BRAVO";124,22
"210232 BURITICUPU";194,64
"210235 BURITIRANA";100,38
"210237 CACHOEIRA GRANDE";76,80
"210240 CAJAPIO";79,53
"210250 CAJARI";87,29
"210255 CAMPESTRE DO MARANHAO";172,60
"210260 CANDIDO MENDES";121,21
"210270 CANTANHEDE";75,90
"210275 CAPINZAL DO NORTE";110,86
"210280 CAROLINA";227,45
"210290 CARUTAPERA";113,30
"210300 CAXIAS";204,58
"210310 CEDRAL";116,60
"210312 CENTRAL DO MARANHAO";117,27
"210315 CENTRO DO GUILHERME";42,81
"210317 CENTRO NOVO DO MARANHAO";124,97
"210320 CHAPADINHA";145,89
"210325 CIDELANDIA";161,00
"210330 CODO";150,50
"210340 COELHO NETO";167,44
"210350 COLINAS";147,03
"210355 CONCEICAO DO LAGO-ACU";93,84
"210360 COROATA";127,49
"210370 CURURUPU";170,17
"210375 DAVINOPOLIS";140,44
"210380 DOM PEDRO";251,77
"210390 DUQUE BACELAR";115,41
"210400 ESPERANTINOPOLIS";138,31
"210405 ESTREITO";250,28
"210407 FEIRA NOVA DO MARANHAO";115,76
"210408 FERNANDO FALCAO";110,24
"210409 FORMOSA DA SERRA NEGRA";96,71
"210410 FORTALEZA DOS NOGUEIRAS";139,17
"210420 FORTUNA";158,08
"210430 GODOFREDO VIANA";114,44
"210440 GONCALVES DIAS";147,17
"210450 GOVERNADOR ARCHER";132,39
"210455 GOVERNADOR EDISON LOBAO";152,70
"210460 GOVERNADOR EUGENIO BARROS";119,89
"210462 GOVERNADOR LUIZ ROCHA";102,18
"210465 GOVERNADOR NEWTON BELLO";82,36
"210467 GOVERNADOR NUNES FREIRE";174,68
"210470 GRACA ARANHA";121,12
"210480 GRAJAU";179,73
"210490 GUIMARAES";129,60
"210500 HUMBERTO DE CAMPOS";86,27
"210510 ICATU";97,30
"210515 IGARAPE DO MEIO";103,58
"210520 IGARAPE GRANDE";133,59
"210530 IMPERATRIZ";379,78
"210535 ITAIPAVA DO GRAJAU";159,86
"210540 ITAPECURU MIRIM";148,38
"210542 ITINGA DO MARANHAO";355,86
"210545 JATOBA";205,34
"210547 JENIPAPO DOS VIEIRAS";106,65
"210550 JOAO LISBOA";185,67
"210560 JOSELANDIA";102,37
"210565 JUNCO DO MARANHAO";107,60
"210570 LAGO DA PEDRA";191,55
"210580 LAGO DO JUNCO";110,94
"210590 LAGO VERDE";92,30
"210592 LAGOA DO MATO";89,86
"210594 LAGO DOS RODRIGUES";120,04
"210596 LAGOA GRANDE DO MARANHAO";82,00
"210598 LAJEADO NOVO";158,62
"210600 LIMA CAMPOS";158,38
"210610 LORETO";105,50
"210620 LUIS DOMINGUES";147,10
"210630 MAGALHAES DE ALMEIDA";92,90
"210632 MARACACUME";198,73
"210635 MARAJA DO SENA";133,13
"210637 MARANHAOZINHO";75,18
"210640 MATA ROMA";105,83
"210650 MATINHA";113,67
"210660 MATOES";117,22
"210663 MATOES DO NORTE";81,01
"210667 MILAGRES DO MARANHAO";112,78
"210670 MIRADOR";130,96
"210675 MIRANDA DO NORTE";193,11
"210680 MIRINZAL";163,62
"210690 MONCAO";132,89
"210700 MONTES ALTOS";145,87
"210710 MORROS";88,77
"210720 NINA RODRIGUES";93,32
"210725 NOVA COLINAS";86,45
"210730 NOVA IORQUE";153,82
"210735 NOVA OLINDA DO MARANHAO";139,37
"210740 OLHO D'AGUA DAS CUNHAS";164,33
"210745 OLINDA NOVA DO MARANHAO";107,61
"210750 PACO DO LUMIAR";286,99
"210760 PALMEIRANDIA";104,98
"210770 PARAIBANO";182,23
"210780 PARNARAMA";97,34
"210790 PASSAGEM FRANCA";119,19
"210800 PASTOS BONS";132,70
"210805 PAULINO NEVES";73,75
"210810 PAULO RAMOS";111,38
"210820 PEDREIRAS";217,81
"210825 PEDRO DO ROSARIO";84,35
"210830 PENALVA";117,89
"210840 PERI MIRIM";108,18
"210845 PERITORO";121,63
"210850 PINDARE-MIRIM";166,61
"210860 PINHEIRO";166,17
"210870 PIO XII";108,71
"210880 PIRAPEMAS";99,85
"210890 POCAO DE PEDRAS";109,00
"210900 PORTO FRANCO";289,33
"210905 PORTO RICO DO MARANHAO";124,43
"210910 PRESIDENTE DUTRA";230,23
"210920 PRESIDENTE JUSCELINO";75,11
"210923 PRESIDENTE MEDICI";131,03
"210927 PRESIDENTE SARNEY";104,01
"210930 PRESIDENTE VARGAS";90,20
"210940 PRIMEIRA CRUZ";118,68
"210945 RAPOSA";149,49
"210950 RIACHAO";144,66
"210955 RIBAMAR FIQUENE";192,08
"210960 ROSARIO";136,94
"210970 SAMBAIBA";129,55
"210975 SANTA FILOMENA DO MARANHAO";111,65
"210980 SANTA HELENA";168,15
"210990 SANTA INES";246,31
"211000 SANTA LUZIA";129,54
"211003 SANTA LUZIA DO PARUA";116,88
"211010 SANTA QUITERIA DO MARANHAO";121,31
"211020 SANTA RITA";130,75
"211023 SANTANA DO MARANHAO";78,82
"211027 SANTO AMARO DO MARANHAO";64,97
"211030 SANTO ANTONIO DOS LOPES";140,80
"211040 SAO BENEDITO DO RIO PRETO";76,34
"211050 SAO BENTO";131,17
"211060 SAO BERNARDO";92,12
"211065 SAO DOMINGOS DO AZEITAO";119,12
"211070 SAO DOMINGOS DO MARANHAO";178,54
"211080 SAO FELIX DE BALSAS";142,71
"211085 SAO FRANCISCO DO BREJAO";179,88
"211090 SAO FRANCISCO DO MARANHAO";97,74
"211100 SAO JOAO BATISTA";152,09
"211102 SAO JOAO DO CARU";102,92
"211105 SAO JOAO DO PARAISO";167,83
"211107 SAO JOAO DO SOTER";98,45
"211110 SAO JOAO DOS PATOS";195,09
"211120 SAO JOSE DE RIBAMAR";255,45
"211125 SAO JOSE DOS BASILIOS";122,06
"211130 SAO LUIS";496,11
"211140 SAO LUIS GONZAGA DO MARANHAO";97,63
"211150 SAO MATEUS DO MARANHAO";151,53
"211153 SAO PEDRO DA AGUA BRANCA";178,52
"211157 SAO PEDRO DOS CRENTES";95,86
"211160 SAO RAIMUNDO DAS MANGABEIRAS";210,11
"211163 SAO RAIMUNDO DO DOCA BEZERRA";102,66
"211167 SAO ROBERTO";68,72
"211170 SAO VICENTE FERRER";112,29
"211172 SATUBINHA";93,68
"211174 SENADOR ALEXANDRE COSTA";130,33
"211176 SENADOR LA ROCQUE";125,78
"211178 SERRANO DO MARANHAO";84,78
"211180 SITIO NOVO";149,31
"211190 SUCUPIRA DO NORTE";109,98
"211195 SUCUPIRA DO RIACHAO";133,74
"211200 TASSO FRAGOSO";130,23
"211210 TIMBIRAS";100,35
"211220 TIMON";204,45
"211223 TRIZIDELA DO VALE";162,53
"211227 TUFILANDIA";69,63
"211230 TUNTUM";126,02
"211240 TURIACU";105,37
"211245 TURILANDIA";97,66
"211250 TUTOIA";116,99
"211260 URBANO SANTOS";91,46
"211270 VARGEM GRANDE";101,51
"211280 VIANA";147,14
"211285 VILA NOVA DOS MARTIRIOS";146,07
"211290 VITORIA DO MEARIM";162,13
"211300 VITORINO FREIRE";164,63
"211400 ZE DOCA";151,77
"220005 ACAUA";59,83
"220010 AGRICOLANDIA";114,93
"220020 AGUA BRANCA";201,46
"220025 ALAGOINHA DO PIAUI";199,22
"220027 ALEGRETE DO PIAUI";214,64
"220030 ALTO LONGA";120,00
"220040 ALTOS";153,80
"220045 ALVORADA DO GURGUEIA";147,01
"220050 AMARANTE";156,03
"220060 ANGICAL DO PIAUI";129,35
"220070 ANISIO DE ABREU";181,81
"220080 ANTONIO ALMEIDA";161,85
"220090 AROAZES";146,76
"220100 ARRAIAL";134,22
"220105 ASSUNCAO DO PIAUI";165,35
"220110 AVELINO LOPES";109,67
"220115 BAIXA GRANDE DO RIBEIRO";131,73
"220117 BARRA D'ALCANTARA";120,04
"220120 BARRAS";146,39
"220130 BARREIRAS DO PIAUI";167,29
"220140 BARRO DURO";189,52
"220150 BATALHA";124,07
"220155 BELA VISTA DO PIAUI";112,94
"220157 BELEM DO PIAUI";117,72
"220160 BENEDITINOS";158,43
"220170 BERTOLINIA";136,93
"220173 BETANIA DO PIAUI";62,77
"220177 BOA HORA";120,56
"220180 BOCAINA";225,16
"220190 BOM JESUS";263,06
"220191 BOM PRINCIPIO DO PIAUI";136,44
"220192 BONFIM DO PIAUI";159,62
"220194 BOQUEIRAO DO PIAUI";93,86
"220196 BRASILEIRA";123,44
"220198 BREJO DO PIAUI";108,70
"220200 BURITI DOS LOPES";141,39
"220202 BURITI DOS MONTES";126,76
"220205 CABECEIRAS DO PIAUI";87,35
"220207 CAJAZEIRAS DO PIAUI";146,99
"220208 CAJUEIRO DA PRAIA";119,40
"220209 CALDEIRAO GRANDE DO PIAUI";138,16
"220210 CAMPINAS DO PIAUI";110,33
"220211 CAMPO ALEGRE DO FIDALGO";91,02
"220213 CAMPO GRANDE DO PIAUI";118,41
"220217 CAMPO LARGO DO PIAUI";78,95
"220220 CAMPO MAIOR";233,39
"220225 CANAVIEIRA";93,40
"220230 CANTO DO BURITI";200,49
"220240 CAPITAO DE CAMPOS";116,65
"220245 CAPITAO GERVASIO OLIVEIRA";109,76
"220250 CARACOL";142,02
"220253 CARAUBAS DO PIAUI";93,40
"220255 CARIDADE DO PIAUI";130,90
"220260 CASTELO DO PIAUI";143,19
"220265 CAXINGO";108,32
"220270 COCAL";120,27
"220271 COCAL DE TELHA";133,24
"220272 COCAL DOS ALVES";108,33
"220273 COIVARAS";116,94
"220275 COLONIA DO GURGUEIA";141,79
"220277 COLONIA DO PIAUI";118,44
"220280 CONCEICAO DO CANINDE";144,32
"220285 CORONEL JOSE DIAS";132,60
"220290 CORRENTE";234,73
"220300 CRISTALANDIA DO PIAUI";137,34
